"treeID"	"discID"	"height_m"	"areaHWLogyard_cm2"	"areaUBLogyard_cm2"	"incompleteAreaUBLogyard"	"airDryDensity_kgpm3"	"nbRings"	"nbRingsHW"	"ringWidth_mm"	"imageNameLogyard"	"pixelWidthLogyard_mm"	"pithX_pixel"	"pithY_pixel"
"C04"	"C04b"	4	1244.82196599278	2105.0572745296	0	564.329375590084	46	27.5	5.50944029230515	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C04b.jpeg"	0.205471008040765	1581	1481
"C04"	"C04c"	8	1100.13280870469	1813.13947983923	0	550.365932045044	42	22.5	5.78258422547291	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C04c.jpeg"	0.167791090695783	1435	2256
"C04"	"C04d"	12	731.133296641067	1317.46158289443	0	539.743818551021	39	22.75	5.56773593736965	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C04d.jpeg"	0.16812724407839	1457	1585
"C05"	"C05a"	0	1484.82933607074	2466.05003691217	0	628.747619017676	50	37.75	6.13905719395902	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C05a.jpeg"	0.20148648670431	1635	2360
"C05"	"C05b"	4	1134.91290900559	1613.51220736475	0	652.625692748806	46	32.6666666666667	5.54980302046884	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C05b.jpeg"	0.171397582745611	1885	2342
"C05"	"C05c"	8	1041.96218839525	1693.61710569397	0	618.566911305643	43	30	5.49431279867325	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C05c.jpeg"	0.237559484895018	1426	1677
"C05"	"C05d"	12	680.015848488937	1204.31936300746	0	610.953075983472	38	24.75	5.5250392890081	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C05d.jpeg"	0.147938973398206	1473	2266
"C06"	"C06a"	0	2058.55554284875	3342.68428063009	0	549.585225893688	53	35	7.34839950463314	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C06a.jpeg"	0.233683079008249	1071	2511
"C06"	"C06b"	4	1474.27285757078	2283.88203172443	0	529.970461840626	47	31.5	6.19224596196978	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C06b.jpeg"	0.210217760373616	1188	2209
"C06"	"C06c"	8	1212.9527939594	1966.87387359594	0	503.3890786044	43	28	6.27824875588558	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C06c.jpeg"	0.234186991755681	1241	2247
"C06"	"C06d"	12	1010.78462271338	1775.81572922551	0	492.849199758854	39	25.5	6.22624898096321	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C06d.jpeg"	0.213587770476873	1237	1873
"C07"	"C07a"	0	1200.39548932981	2142.17803268444	0	649.054249883647	52	39.5	6.0791644434138	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C07a.jpeg"	0.231777212035356	1396	1977
"C07"	"C07b"	4	710.468810649859	1271.52024888881	0	680.843333499181	48	33.5	4.51108156457739	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C07b.jpeg"	0.208867511995261	1433	2330
"C07"	"C07c"	8	620.403841071474	1127.96410403533	0	654.03964122291	44	30.25	4.5694711720957	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C07c.jpeg"	0.157601332929033	1442	2372
"C07"	"C07d"	12	550.738478157005	1009.52146151113	0	675.959319259066	39	29	4.83166666666667	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C07d.jpeg"	0.189171662690278	1316	2557
"C08"	"C08a"	0	1896.69509509335	3260.19468923399	0	591.049164721238	52	33	5.92807966933756	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C08a.jpeg"	0.293322570350485	1357	2577
"C08"	"C08b"	4	1198.84078776394	2054.31078895791	1	585.544072708386	46	29.25	5.99247897366054	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C08b.jpeg"	0.178634461016959	1280	2141
"C08"	"C08c"	8	886.676995396521	1631.25442931761	0	560.086561515949	43	26.5	5.80805346969314	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C08c.jpeg"	0.221107252052539	1210	2327
"C08"	"C08d"	12	881.214547130317	1634.46238040984	0	543.324859147397	38	23.5	5.95574571619859	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C08d.jpeg"	0.268459258622911	1215	2464
"C09"	"C09a"	0	1778.7889835744	3102.18210477459	0	579.879245803537	51	39.25	6.74692533343309	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C09a.jpeg"	0.23809750569053	1478	2598
"C09"	"C09b"	4	1114.70835720366	1940.11460462499	0	556.539425143854	46	32.75	5.60300997319192	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C09b.jpeg"	0.200250072290276	1439	1863
"C09"	"C09c"	8	920.313938986637	1665.40358238815	0	550.542975683693	42	27.3333333333333	5.86243157294547	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C09c.jpeg"	0.213710649458115	997	1642
"C09"	"C09d"	12	884.792330121811	1613.86053833861	1	530.529177217538	38	23.75	6.18124591254357	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C09d.jpeg"	0.162759568960578	1107	2365
"C10"	"C10a"	0	1104.28725933771	2230.80394302588	1	631.009947583878	51	36.25	5.79702606693988	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C10a.jpeg"	0.196486198023506	1167	1899
"C10"	"C10b"	4	848.334562880719	1720.16991315713	1	630.625453917215	45	26.75	5.62033445289776	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C10b.jpeg"	0.177256439017404	1088	1904
"C10"	"C10c"	8	598.623092099341	1348.98331486154	0	582.580366012055	41	24	5.52656563336409	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C10c.jpeg"	0.16027675307507	1569	1772
"C10"	"C10d"	12	574.459243591004	1419.40629022998	0	571.926085595144	38	22	5.45948152410132	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C10d.jpeg"	0.310055599170043	1808	2328
"C11"	"C11a"	0	1919.48970770791	3435.46200171989	0	580.157475880055	52	38.75	6.52938631172971	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C11a.jpeg"	0.359339318728586	1291	2113
"C11"	"C11b"	4	1217.82961551773	2055.98372446242	0	572.327846255329	47	33.5	5.63841068524234	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C11b.jpeg"	0.252740975883456	999	1750
"C11"	"C11c"	8	1051.66857826309	1829.48375555841	0	539.90245302773	43	29.75	5.73241318808202	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C11c.jpeg"	0.246355903475786	1481	1869
"C11"	"C11d"	12	854.461617292605	1518.66130392125	0	519.294500154744	40	26.75	5.80271238769093	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C11d.jpeg"	0.171719926174169	1355	2255
"C12"	"C12a"	0	1438.89318419856	2637.25750234246	0	571.414042051097	52	33.75	5.74717327169017	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C12a.jpeg"	0.253105605782957	1202	2478
"C12"	"C12b"	4	863.50557744349	1714.73322969773	0	609.823605801138	47	27.25	5.06122358946074	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C12b.jpeg"	0.205202962145799	1437	2009
"C12"	"C12c"	8	700.955688877286	1503.72865742913	0	571.642608359732	43	21.75	5.24795493099264	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C12c.jpeg"	0.209731367675027	1474	2040
"C12"	"C12d"	12	671.876507220855	1338.30914542838	0	622.60344084938	39	23	5.65637310543801	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C12d.jpeg"	0.190977460840072	1319	2277
"C13"	"C13a"	0	731.834627215023	1240.42605499027	0	537.845980195322	53	32.25	4.17722922779418	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C13a.jpeg"	0.148465137713292	1456	1957
"C13"	"C13b"	4	535.902249567778	902.467412294818	0	566.950527780443	46	26	3.84790373438605	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C13b.jpeg"	0.144637004509782	1214	1601
"C13"	"C13c"	8	481.013402527462	837.383914738658	0	558.785951612192	42	24.5	3.91575028444201	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C13c.jpeg"	0.156699728219991	1394	2228
"C13"	"C13d"	12	334.769228813816	621.844545365145	0	545.963606015808	39	23.25	3.8899977928109	"TreeTrace_Douglas/logs_and_discs/color_images/discs/C13d.jpeg"	0.126892731990368	1271	2165
"D01"	"D01a"	0	2643.3743972211	4449.03637470143	0	462.278258684937	61	45.5	6.40654131401937	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D01a.jpeg"	0.27348946299797	1463	2642
"D01"	"D01b"	4	1314.01432801333	2114.02713323031	0	487.352659599336	51	35.25	5.31534218634685	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D01b.jpeg"	0.313367636643958	1262.231	2506.492
"D01"	"D01c"	8	1220.11123998345	1908.71889580223	0	544.515744271757	46	32.75	5.77729399115464	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D01c.jpeg"	0.215947274313504	1277.022	2326.271
"D01"	"D01d"	12	838.155767643622	1456.50523036389	0	500.989889059042	41	27	5.54872848008326	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D01d.jpeg"	0.179565322632198	1466.546	2473.027
"D02"	"D02a"	0	2480.30176016337	3897.08180241393	1	601.106061385557	59	44.5	6.46439417680737	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D02a.jpeg"	0.275818851004863	852.689	2845.366
"D02"	"D02b"	4	1294.65517415297	2010.64868284196	0	579.0810904166	52	39.6666666666667	5.08455086972725	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D02b.jpeg"	0.199382075072934	1205.74	2613.912
"D02"	"D02c"	8	1096.36802405874	1715.98222590993	0	584.813883102503	49	36.25	5.08730979779675	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D02c.jpeg"	0.226156746527137	1223.351	2459.609
"D02"	"D02d"	12	866.452826675778	1455.10666876187	0	554.18385020726	43	29.5	5.191372069036	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D02d.jpeg"	0.196963919361396	1548.729	2260.86
"D03"	"D03a"	0	3542.12567549765	5973.63355894382	0	499.355009585458	59	47.25	7.49353896617979	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D03a.jpeg"	0.343382066116157	1285.408	2322.078
"D03"	"D03b"	4	2257.60317385578	3303.14511702472	0	434.002484380073	49	34.75	6.80345442965445	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D03b.jpeg"	0.245159809873664	1426.293	2311.176
"D03"	"D03c"	8	2183.94568202228	3366.37727141411	0	439.710858714623	46	32.25	6.9209126264062	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D03c.jpeg"	0.249213482250019	1388.938	2051.116
"D03"	"D03d"	12	1457.89001046093	2456.1851471272	0	448.718052144012	41	28	7.01112844406597	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D03d.jpeg"	0.229252005725798	1540.725	2569.373
"D04"	"D04a"	0	2093.59532990138	3235.79921117978	0	488.884982549876	62	47.5	6.06097070330173	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D04a.jpeg"	0.2573035615959	1305.717	1910.499
"D04"	"D04b"	4	1075.51812264321	2129.05741096636	0	473.298240426676	50	33.5	5.48060327002421	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D04b.jpeg"	0.204107125216456	1240.306	2093.314
"D04"	"D04c"	8	936.883345793871	1764.6836603473	0	491.373239370295	46	32	5.50334311888403	"TreeTrace_Douglas/logs_and_discs/color_images/discs/D04c.jpeg"	0.23203901968155	1225.211	2126.859
