nomImage;mireTrouvee;nombreCarresMire;nombreCarresDetectes;moyenneLongueurCote_Pixels;medianeLongueurCote_Pixels;minLongueurCote_Pixels;maxLongueurCote_Pixels;ecartTypeLongueurCote_Pixels;nombreCarresDetectesSansExtremes;moyenneLongueurCoteSansExtremes_Pixels;medianeLongueurCoteSansExtremes_Pixels;minLongueurCoteSansExtremes_Pixels;maxLongueurCoteSansExtremes_Pixels;ecartTypeLongueurCoteSansExtremes_Pixels 
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A02c.jpeg;Oui;0;25;27.92;29;0;28;3.83241;40;28.5;29;25;27;0.640513
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A02d.jpeg;Oui;0;25;35.72;37;0;35;4.92822;40;36.5;37;33;35;0.640513
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A03a.jpeg;Oui;0;21;38.0476;39;0;39;5.84329;34;38.9706;39;35;38;1.05845
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A03b.jpeg;Oui;0;25;45.78;47;0;47;6.41837;40;46.675;47;43;46;0.828576
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A03c.jpeg;Oui;0;25;44.9;46;0;45;6.23109;40;45.7;46;43;45;0.607644
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A03d.jpeg;Oui;0;25;24.58;25;0;24;3.32025;40;25.05;25;22;24;0.450071
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A04a.jpeg;Oui;0;25;36.68;37;0;36;5.05254;40;37.45;37;35;36;0.503831
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A04b.jpeg;Oui;0;25;40.52;42;0;41;5.67573;40;41.4;42;38;40;0.7779
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A04c.jpeg;Oui;0;28;31.6786;35;0;34;8.49836;46;33.8696;35;15;34;3.7095
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A04d.jpeg;Oui;0;25;45.92;47;0;47;6.43917;40;46.875;47;43;46;0.647975
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A05a.jpeg;Oui;0;25;51.4;52;0;53;7.28431;40;52.325;52;48;53;1.16327
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A05b.jpeg;Oui;0;25;39.48;40;0;40;5.48928;40;40.175;40;37;40;0.675107
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A05c.jpeg;Oui;0;25;62.06;63;0;65;8.88339;40;63.225;63;59;64;1.52732
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A05d.jpeg;Oui;0;23;54.8913;56;0;58;8.23334;38;55.8947;56;51;57;1.64053
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A06a.jpeg;Oui;0;25;41.16;42;0;42;5.74407;40;41.925;42;38;41;0.693837
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A06b.jpeg;Oui;0;26;50.9808;47;0;177;26.6396;42;46.8571;47;43;47;0.813647
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A06c.jpeg;Oui;0;25;54.88;56;0;55;7.68417;40;56.025;56;52;55;0.697523
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A06d.jpeg;Oui;0;25;48.52;49;0;48;6.73474;40;49.475;49;47;48;0.505736
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A07a.jpeg;Oui;0;25;46.2;47;0;46;6.40153;40;47.1;47;44;46;0.378932
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A07b.jpeg;Oui;0;26;49.1346;47;0;107;13.7314;42;47.6429;47;44;48;1.07797
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A07c.jpeg;Oui;0;25;51.12;52;0;53;7.21291;40;52.175;52;48;51;0.780779
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A07d.jpeg;Oui;0;24;42.3958;43;0;43;6.03796;40;43.25;43;40;42;0.707107
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A08a.jpeg;Oui;0;25;44.24;45;0;44;6.12309;40;45.1;45;42;44;0.441443
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A08b.jpeg;Oui;0;25;53.54;55;0;56;7.7122;40;54.6;55;49;55;1.69161
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A08c.jpeg;Oui;0;25;63.22;65;0;65;8.94721;40;64.475;65;61;64;0.933356
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A08d.jpeg;Oui;0;25;51.84;53;0;52;7.2685;40;52.9;53;49;52;0.928191
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A09a.jpeg;Oui;0;25;41.76;43;0;44;5.95068;40;42.45;43;39;43;1.21845
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A09b.jpeg;Oui;0;25;44.6;45;0;48;6.48389;40;45.375;45;41;46;1.64375
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A09c.jpeg;Oui;0;25;49.92;51;0;52;7.05905;40;50.8;51;47;51;1.09075
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A09d.jpeg;Oui;0;25;62.52;64;0;66;9.03788;40;63.675;64;58;65;1.8999
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A10a.jpeg;Oui;0;25;45.1;46;0;46;6.32859;40;45.95;46;42;46;0.814925
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A10b.jpeg;Oui;0;21;58.5;60;0;64;9.39447;34;59.6471;60;54;62;2.35979
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A10c.jpeg;Oui;0;23;71.6087;74;0;75;10.6864;38;73.1053;74;68;73;1.79774
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A10d.jpeg;Oui;0;25;48.7;50;0;49;6.83105;40;49.675;50;46;49;0.971055
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A11a.jpeg;Oui;0;25;55.94;57;0;60;8.20505;40;56.875;57;52;59;2.11451
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A11b.jpeg;Oui;0;25;49.02;50;0;50;6.86455;40;49.875;50;47;50;0.757442
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A11c.jpeg;Oui;0;25;64.98;66;0;68;9.3186;40;66.2;66;62;67;1.7127
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A11d.jpeg;Oui;0;19;51.4211;52;0;56;8.46816;32;52.5;52;48;54;1.41421
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A12a.jpeg;Oui;0;25;47.74;48;0;50;6.72434;40;48.525;48;45;48;0.933356
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A12b.jpeg;Oui;0;25;54.16;55;0;57;7.77846;40;55.125;55;51;56;1.60428
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A12c.jpeg;Oui;0;25;50.28;51;0;51;7.03066;40;51.175;51;48;51;0.747217
/home/alex/GUEST_SHARE/MesureManuel/Douglas_parc/A12d.jpeg;Oui;0;25;58.08;59;0;59;8.12112;40;59.2;59;56;58;0.464095
